Timestamp,Username,Name,Branch ,Gmail,Age Group,Current Occupation: (Select one),Which mode of Learning do you personally prefer to enhance your Skills?,Which mode do you think is the Future of Learning?,Preferred Learning Method: (Select all that apply),Course Format: (Select one),Learning Pace: (Select one), Interest,Your Knowledge Level: (Select one),Importance of Reviews and Ratings: (Select one),Course Cost: (Select your preference),Course Duration: (Select your preference),Preferred Online Platform Features: (Select all that apply),Trainer Expertise: (Select all that apply),"Before using/purchasing a course, what are the parameters you consider most? (Choose any 2)",Which online Learning Platform due to prefer ?,How clear were the learning objectives for this course/module? ,"To what extent did the assessments (quizzes, assignments) accurately reflect the course content? (Select one)",How helpful was the feedback you received on your assessments in understanding your strengths and weaknesses?,"Were you aware of the metrics used to track your performance (scores, completion rates)?","How engaging and interesting did you find the course content (presentations, videos, activities)? ","Did the delivery format (e.g., self-paced, instructor-led) match your learning style and preferences? ","Did the platform offer opportunities for interaction (discussions, forums, quizzes)? ",Did you participate in any collaborative activities with other learners (if available)? ,"Did the platform provide any features to help you stay motivated throughout the course (e.g., badges, points)?",Did the platform offer any personalized learning paths or recommendations based on your performance?,"If the platform offered personalized features, how effective were they in keeping you engaged? ",How satisfied were you with the learning experience on this platform? ,At what point in the course did you decide to stop participating(remember the course that you enrolled and then dropped it),What was the primary reason you stopped participating in the course? (remember the course that you enrolled and then dropped it),Please share any suggestions you have on how the platform could better track performance or increase engagement.,Is there anything else you would like to share about your experience with this online course?
2024/04/02 5:27:33 PM GMT+5:30,user11@example.com,User11,MCA,user11@gmail.com,18-24,Under Graduate Student,Online,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),Other (Please Specify),Advanced (Solid Foundational Knowledge),Somewhat Important (Considered alongside other factors),Free,Flexible (Variable Duration),Mobile App Accessibility;Offline Content Availability;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery),Self- assessment from the overview;Credits/ Certifications;Duration,Udemy,Very Clear,Completely Accurate,Somewhat Helpful,Yes,Very Engaging,Good Match,"Yes, occasionally",No,"Yes, but not helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(d) Almost at the end of the course,(g) I found a more relevant course elsewhere.,By providing more valuable certification that will provide more value in resume,"No, everything was fine. "
2024/04/02 5:30:09 PM GMT+5:30,user12@example.com,User12,Computer science and engineering ,user12@gmail.com,35-44,Other,Online,Online,Video Lectures;Interactive Exercises,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design);Marketing (Specify areas like Digital Marketing, Content Marketing);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),Paid,Medium (4-12 weeks),Offline Content Availability;Community Forums/Discussion Boards,Industry Expert (Extensive Real-world Experience),Self- assessment from the overview,edX,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,Yes,Somewhat Engaging,Poor Match,"Yes, occasionally",No,"Yes, but not helpful","Yes, but not helpful",Not Effective,Somewhat Satisfied,(b) After completing a few modules,(c) The course was not engaging or interesting enough.;(g) I found a more relevant course elsewhere.,By giving a daily quest kind of task in which person can earn some points which can be converted into money for buying certification course  ,"Just the improvement of interaction on the platform would be good, like you can code while watching the course video in PIP mode on the same website "
2024/04/02 5:36:13 PM GMT+5:30,user13@example.com,User13,Information & Technology,user13@gmail.com,18-24,Working Professional,Online,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Self-paced (Start/Finish Anytime),"Business (Specify areas like Marketing, Finance, Management)",Beginner (No Prior Knowledge),Somewhat Important (Considered alongside other factors),Free,Flexible (Variable Duration),Mobile App Accessibility;Offline Content Availability;Community Forums/Discussion Boards;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Self- assessment from the overview;Credits/ Certifications,CareerWill,Very Clear,Completely Accurate,Very Helpful,No,Somewhat Engaging,Good Match,No,"Yes, occasionally","Yes, and they were helpful",No,Very Effective,Very Satisfied,(d) Almost at the end of the course,(b) I found the material to be unclear or poorly explained.;(c) The course was not engaging or interesting enough.;(e) I experienced technical difficulties with the platform.,,"Online platform is best to learn, if mentor and platform both are convenient and Interactive."
2024/04/02 5:41:12 PM GMT+5:30,user14@example.com,User14,Accounting ,user14@gmail.com,35-44,Post Graduate Student,Offline,Online,Video Lectures;Interactive Exercises,Online (Synchronous/Asynchronous),Scheduled Sessions (Fixed Start/End Dates),"Business (Specify areas like Marketing, Finance, Management);Design (Specify areas like Graphic Design, UX/UI Design);Other (Please Specify)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Paid,Flexible (Variable Duration),Mobile App Accessibility;Offline Content Availability;Community Forums/Discussion Boards;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Self- assessment from the overview;Credits/ Certifications,Udemy,Very Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Good Match,"Yes, occasionally","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(d) Almost at the end of the course,(f) Unexpected personal circumstances prevented me from continuing.,,
2024/04/02 6:00:18 PM GMT+5:30,user15@example.com,User15,AIML,user15@gmail.com,35-44,Other,Online,Online,Video Lectures,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Data Science (Specify sub-fields like Machine Learning, Deep Learning)",Beginner (No Prior Knowledge),Very Important (Highly influence decision),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility,Academic Background (Strong Theoretical Knowledge),Self- assessment from the overview;Credits/ Certifications,LinkedIn Learning,Very Clear,Somewhat Accurate,Very Helpful,Yes,Somewhat Engaging,Good Match,"Yes, frequently","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Somewhat Effective,Very Satisfied,(b) After completing a few modules,(d) The workload or time commitment was too much for me.,,
2024/04/02 6:23:41 PM GMT+5:30,user16@example.com,User16,Information Technology,user16@gmail.com,25-34,Under Graduate Student,Offline,Offline,Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Programming Languages (Specify preferred languages);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Beginner (No Prior Knowledge),Very Important (Highly influence decision),Paid,Short (Less than 4 weeks),Mobile App Accessibility;Offline Content Availability,Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Duration,coursera,Very Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Excellent Match,"Yes, frequently","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Somewhat Satisfied,(d) Almost at the end of the course,(d) The workload or time commitment was too much for me.,,
2024/04/02 6:24:58 PM GMT+5:30,user17@example.com,User17,AI & ML,user17@gmail.com,25-34,Other,Offline,Offline,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Design (Specify areas like Graphic Design, UX/UI Design)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Paid,Medium (4-12 weeks),Mobile App Accessibility;Offline Content Availability;Career Support Services,Proven Teaching Track Record (Positive Student Reviews),Self- assessment from the overview;Credits/ Certifications,Udemy,Very Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Good Match,"Yes, frequently","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(b) After completing a few modules,(a) The course content was too difficult.;(b) I found the material to be unclear or poorly explained.,,
2024/04/02 6:32:29 PM GMT+5:30,user18@example.com,User18,CSE ,user18@gmail.com,35-44,Under Graduate Student,Offline,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),Programming Languages (Specify preferred languages),Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility;Offline Content Availability;Community Forums/Discussion Boards;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge),Ratings;Credits/ Certifications;Duration,Udemy,Very Clear,Somewhat Accurate,Somewhat Helpful,No,Very Engaging,Good Match,"Yes, occasionally",No,"Yes, but not helpful","Yes, but not helpful",Not Effective,Somewhat Satisfied,(b) After completing a few modules,(f) Unexpected personal circumstances prevented me from continuing.,,
2024/04/02 6:47:48 PM GMT+5:30,user19@example.com,User19,Cse,user19@gmail.com,25-34,Under Graduate Student,Online,Online,Video Lectures;Reading Materials;Case Studies/Real-world Examples,Offline (In-person),Self-paced (Start/Finish Anytime),"Design (Specify areas like Graphic Design, UX/UI Design);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),Free,Medium (4-12 weeks),Mobile App Accessibility,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Ratings;Self- assessment from the overview;Credits/ Certifications,Udemy,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,Yes,Very Engaging,Good Match,"Yes, occasionally","Yes, occasionally","Yes, and they were helpful","Yes, and they were helpful",Somewhat Effective,Very Satisfied,(c) Midway through the course,(b) I found the material to be unclear or poorly explained.;(c) The course was not engaging or interesting enough.,,
2024/04/02 6:58:06 PM GMT+5:30,user20@example.com,User20,BTECH-CSE,user20@gmail.com,35-44,Post Graduate Student,Offline,Online,Video Lectures;Interactive Exercises;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Scheduled Sessions (Fixed Start/End Dates),Programming Languages (Specify preferred languages),Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility;Offline Content Availability,Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Number of Ratings,Udemy,Very Clear,Somewhat Accurate,Somewhat Helpful,Yes,Very Engaging,Excellent Match,"Yes, occasionally",No,"Yes, and they were helpful","Yes, but not helpful",Somewhat Effective,Somewhat Satisfied,(d) Almost at the end of the course,(d) The workload or time commitment was too much for me.,,
2024/04/02 7:07:37 PM GMT+5:30,user21@example.com,User21,Computer Science and Engineering,user21@gmail.com,25-34,Other,Online,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Data Science (Specify sub-fields like Machine Learning, Deep Learning);Business (Specify areas like Marketing, Finance, Management)",Intermediate (Some Foundational Knowledge),Very Important (Highly influence decision),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility;Offline Content Availability;Live Q&A Sessions with Instructors,Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Self- assessment from the overview;Credits/ Certifications,LinkedIn Learning,Very Clear,Somewhat Accurate,Somewhat Helpful,Yes,Not Engaging,Good Match,No,No,"Yes, and they were helpful","Yes, and they were helpful",Very Effective,Somewhat Satisfied,(c) Midway through the course,(d) The workload or time commitment was too much for me.,,
2024/04/02 7:07:41 PM GMT+5:30,user22@example.com,User22,CSIT ,user22@gmail.com,35-44,Post Graduate Student,Online,Online,Video Lectures;Interactive Exercises,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design)",Beginner (No Prior Knowledge),Very Important (Highly influence decision),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience),Ratings;Self- assessment from the overview;Credits/ Certifications;Number of Ratings;Duration,coursera,Very Clear,Somewhat Accurate,Somewhat Helpful,Yes,Very Engaging,Good Match,"Yes, frequently","Yes, frequently","Yes, and they were helpful","Yes, and they were helpful",Somewhat Effective,Very Satisfied,(d) Almost at the end of the course,(g) I found a more relevant course elsewhere.,,
2024/04/02 7:19:24 PM GMT+5:30,user23@example.com,User23,CSE,user23@gmail.com,25-34,Under Graduate Student,Offline,Online,Video Lectures;Interactive Exercises;Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Programming Languages (Specify preferred languages);Design (Specify areas like Graphic Design, UX/UI Design);Soft Skills (Specify areas like Communication, Leadership, Time Management);Other (Please Specify)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),"Either, based on value",Medium (4-12 weeks),Mobile App Accessibility;Offline Content Availability;Community Forums/Discussion Boards;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Self- assessment from the overview;Credits/ Certifications,coursera,Very Clear,Completely Accurate,Somewhat Helpful,Yes,Somewhat Engaging,Good Match,"Yes, frequently",No,No,"Yes, but not helpful",Somewhat Effective,Somewhat Satisfied,(b) After completing a few modules,(c) The course was not engaging or interesting enough.;(d) The workload or time commitment was too much for me.;(e) I experienced technical difficulties with the platform.;(g) I found a more relevant course elsewhere.,,
2024/04/02 8:00:55 PM GMT+5:30,user24@example.com,User24,IT,user24@gmail.com,18-24,Post Graduate Student,Offline,Offline,Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),Programming Languages (Specify preferred languages),Beginner (No Prior Knowledge),Very Important (Highly influence decision),"Either, based on value",Medium (4-12 weeks),Offline Content Availability,Industry Expert (Extensive Real-world Experience),Self- assessment from the overview,Unacademy,Somewhat Clear,Somewhat Accurate,Very Helpful,Yes,Somewhat Engaging,Good Match,"Yes, occasionally",No,No,No,Very Effective,Somewhat Satisfied,(b) After completing a few modules,(e) I experienced technical difficulties with the platform.,,
2024/04/02 8:04:19 PM GMT+5:30,user25@example.com,User25,Information technology ,user25@gmail.com,35-44,Post Graduate Student,Online,Online,Video Lectures;Interactive Exercises;Reading Materials;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Scheduled Sessions (Fixed Start/End Dates),Programming Languages (Specify preferred languages),Beginner (No Prior Knowledge),Very Important (Highly influence decision),Free,Medium (4-12 weeks),Live Q&A Sessions with Instructors,Strong Communication Skills (Clear and Engaging Delivery),Ratings;Self- assessment from the overview,upGrad,Very Clear,Completely Accurate,Very Helpful,Yes,Very Engaging,Excellent Match,"Yes, frequently",No,"Yes, and they were helpful","Yes, and they were helpful",Very Effective,Very Satisfied,(a) During the first week,(a) The course content was too difficult.,Nothing ,Nothing 
2024/04/02 8:11:23 PM GMT+5:30,user26@example.com,User26,Computer science ,user26@gmail.com,35-44,Other,Online,Online,Video Lectures;Case Studies/Real-world Examples,Online (Synchronous/Asynchronous),Self-paced (Start/Finish Anytime),"Programming Languages (Specify preferred languages);Data Science (Specify sub-fields like Machine Learning, Deep Learning);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Intermediate (Some Foundational Knowledge),Somewhat Important (Considered alongside other factors),"Either, based on value",Flexible (Variable Duration),Mobile App Accessibility;Offline Content Availability;Career Support Services;Live Q&A Sessions with Instructors,Industry Expert (Extensive Real-world Experience);Strong Communication Skills (Clear and Engaging Delivery);Proven Teaching Track Record (Positive Student Reviews),Ratings;Self- assessment from the overview;Credits/ Certifications;Number of Ratings;Duration,coursera,Very Clear,Somewhat Accurate,Somewhat Helpful,No,Very Engaging,Good Match,"Yes, occasionally","Yes, occasionally",No,No,Not Effective,Somewhat Satisfied,(c) Midway through the course,(b) I found the material to be unclear or poorly explained.;(c) The course was not engaging or interesting enough.;(e) I experienced technical difficulties with the platform.,,
2024/04/02 9:09:06 PM GMT+5:30,user27@example.com,User27,No,user27@gmail.com,25-34,Other,Offline,Offline,Case Studies/Real-world Examples,Offline (In-person),Scheduled Sessions (Fixed Start/End Dates),"Data Science (Specify sub-fields like Machine Learning, Deep Learning);Business (Specify areas like Marketing, Finance, Management);Marketing (Specify areas like Digital Marketing, Content Marketing);Soft Skills (Specify areas like Communication, Leadership, Time Management)",Beginner (No Prior Knowledge),Somewhat Important (Considered alongside other factors),Paid,Flexible (Variable Duration),Mobile App Accessibility,Academic Background (Strong Theoretical Knowledge);Strong Communication Skills (Clear and Engaging Delivery),Self- assessment from the overview;Credits/ Certifications;Duration,Youtube ,Somewhat Clear,Somewhat Accurate,Somewhat Helpful,Yes,Somewhat Engaging,Good Match,"Yes, occasionally","Yes, occasionally","Yes, and they were helpful","Yes, and they were helpful",Somewhat Effective,Somewhat Satisfied,(d) Almost at the end of the course,(d) The workload or time commitment was too much for me.;(e) I experienced technical difficulties with the platform.,Better communication and presentation,No
